KEIO STE ID,Status,Safecast ID,Sensor Type,Inspector SN,Feed ID,Feed (Pachube/Safecast),Device ID,Type,Firmware Version,nGeigie ID,Inuse,,Location,Latitude,Longitude,Height(m),Indoor/Outdoor,Action needed,,,,,,,,,,,,,,,,,,,,,,
#066,,,Inspector Alert,A02219,42005,http://www.pachube.com/feeds/42005,KEIOSTE78,WiFi,12/23/11,,Yes,1/12/12,"Marugameshotengai, Softbank",0.8,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,
#067,,,Inspector Alert,A02227,42006,http://www.pachube.com/feeds/42006,KEIOSTE79,WiFi,12/23/11,,shipped,,"Yamatokooriyama, Softbank",135.76797,,,,,,,,,,,,,,,,,,,,,,,,,,
#068,,,Inspector Alert,A02234,42007,http://www.pachube.com/feeds/42007,KEIOSTE80,WiFi,12/23/11,,Yes,12/27/11,"Yumoto, Softbank",140.868628,1,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#069,v2.1,,Inspector Alert,A02238,42008,http://www.pachube.com/feeds/42008,KEIOSTE81,WiFi,1/20/12,,instock,2/8/12,"Pipeline, Softbank",26.243616,127.706264,1,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#070,,,Inspector Alert,A02240,42310,http://www.pachube.com/feeds/42310,KEIOSTE82,WiFi,12/23/11,,Yes,12/29/11,"Nishinasuno, Softbank",140.006823,0.9,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#071,,,Inspector Alert,A02242,42311,http://www.pachube.com/feeds/42311,KEIOSTE83,WiFi,12/23/11,,Yes,12/27/11,"Sakuragi, Softbank",139.054183,0.35,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#0072,,,Inspector Alert,A03548,42312,http://www.pachube.com/feeds/42312,KEIOSTE58,WiFi,1/20/12,,Yes,12/27/11,"Shijojimachi, Softbank",135.766535,0.91,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#073,,,Inspector Alert,A02253,42313,http://www.pachube.com/feeds/42313,KEIOSTE85,WiFi,12/23/11,,Yes,12/28/11,"Ueda, Softbank",140.775054,0.7,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#074,,,Inspector Alert,A02265,42314,http://www.pachube.com/feeds/42314,KEIOSTE86,WiFi,12/23/11,,shipped,12/27/11,"Kashima, Softbank",140.90734,0.5,Indoor,,___€__________________º______#075,"Iwakidaira, Softbank",_________________,______________________ ______________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H601,37.053655,140.880027,0.7,Indoor,,,y,,,,,,,,,,,,
#076,,,Inspector Alert,A03407,42877,http://www.pachube.com/feeds/42877,KEIOSTE88,WiFi,1/20/12,,instock,2/5/12,"Hirara, Softbank",24.80096,125.286948,0.7,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#0077,,,Inspector Alert,A03413,42878,http://www.pachube.com/feeds/42878,KEIOSTE89,WiFi,12/23/11,,shipped,1/18/11,"Maebashi, Softbank",139.066824,0,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#0078,,,Inspector Alert,,42879,http://www.pachube.com/feeds/42879,KEIOSTE90,WiFi,12/23/11,,shipped,1/13/12,"KushiroShowa, Softbank",144.358892,1.2,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#0079,,,Inspector Alert,,42880,http://www.pachube.com/feeds/42880,KEIOSTE91,WiFi,12/23/11,,shipped,1/19/12,"Ekimaedori, Softbank",141.35211,1.2,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#0080,,,Inspector Alert,,42881,http://www.pachube.com/feeds/42881,KEIOSTE92,WiFi,12/23/11,,shipped,1/9/12,"AkitaEkimae, Softbank",39.717787,140.126668,1.2,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#0081,,,Inspector Alert,,42885,http://www.pachube.com/feeds/42885,KEIOSTE93,WiFi,12/23/11,,shipped,1/7/12,"Sanuma, Softbank",38.683965,141.186035,0.5,Indoor,,,,,,,,,,,,,,,,,,,,,,,
